Wissel Nr;latitude;longitude;;;;
W001;52.106165;4.271306;;;;
W003;52.101527;4.274058;;;;
W005;52.10248;4.27826;;;;
W013;52.034711;4.256674;;;;
W014;52.050288;4.262809;;;;
W017;52.09294;4.275388;;;;
W018;52.063019;4.311514;;;;
W022;52.062152;4.310566;;;;
W027;52.09123;4.27831;;;;
W028;52.095644;4.286861;;;;
W031;52.081532;4.288049;;;;
W033;52.07651;4.2711;;;;
W035;52.0748;4.266226;;;;
W037;52.074877;4.265568;;;;
W038;52.08823;4.25161;;;;
W042;52.07493;4.264839;;;;
W043;52.074881;4.264869;;;;
W046;52.074508;4.265531;;;;
W050;52.07719;4.30633;;;;
W052;52.07761;4.3066;;;;
W056;52.071703;4.323941;;;;
W057;52.071748;4.324005;;;;
W059;52.07383;4.32219;;;;
W066;52.06759;4.24681;;;;
W067;52.06696;4.29728;;;;
W072;52.06852;4.29114;;;;
W079;52.061862;4.309928;;;;
W081;52.09635;4.27143;;;;
W084;52.08193;4.28741;;;;
W091;52.044571;4.274379;;;;
W094;52.04318;4.27334;;;;
W100;52.057573;4.338344;;;;
W104;52.05705;4.33766;;;;
W105;52.066749;4.360307;;;;
W113;52.07318;4.324417;;;;
W116;52.07198;4.32428;;;;
W117;52.07343;4.32298;;;;
W118;52.067184;4.316612;;;;
W119;52.074039;4.297182;;;;
W120;52.074211;4.29638;;;;
W121;52.073791;4.296173;;;;
W127;52.068676;4.319281;;;;
W129;52.068266;4.319169;;;;
W133;52.079112;4.341635;;;;
W135;52.079783;4.34391;;;;
W139;52.081231;4.342902;;;;
W140;52.083994;4.339224;;;;
W145;52.017897;4.352694;;;;
W146;52.095695;4.285835;;;;
W151;52.083114;4.317382;;;;
W153;52.08031;4.31037;;;;
W156;52.08032;4.30976;;;;
W157;52.07987;4.31036;;;;
W159;52.07939;4.31071;;;;
W161;52.07911;4.31127;;;;
W164;52.07893;4.31054;;;;
W166;52.07733;4.30778;;;;
W169;52.077738;4.314705;;;;
W171;52.077809;4.315493;;;;
W178;52.077381;4.315423;;;;
W180;52.086486;4.371954;;;;
W182;52.086891;4.372375;;;;
W184;52.086897;4.371688;;;;
W189;52.085971;4.304761;;;;
W194;52.091242;4.382996;;;;
W198;52.06697;4.32895;;;;
W199;52.112294;4.282659;;;;
W200;52.113852;4.283806;;;;
W201;52.113874;4.283909;;;;
W202;52.114323;4.284577;;;;
W204;52.113875;4.28461;;;;
W223;52.055263;4.231389;;;;
W228;52.07398;4.26407;;;;
W230;52.083873;4.339883;;;;
W232;52.084168;4.340008;;;;
W233;52.055322;4.267989;;;;
W235;52.07408;4.26413;;;;
W242;52.066556;4.2978;;;;
W244;52.067036;4.297945;;;;
W246;52.06864;4.29469;;;;
W257;52.076183;4.317654;;;;
W260;52.07628;4.31834;;;;
W262;52.07584;4.31839;;;;
W263;52.06902;4.2949;;;;
W268;52.06857;4.29547;;;;
W269;52.07842;4.32098;;;;
W271;52.07799;4.32093;;;;
W273;52.07833;4.32154;;;;
W275;52.070631;4.283867;;;;
W279;52.066131;4.281249;;;;
W287;51.980714;4.351331;;;;
W291;52.091866;4.383013;;;;
W297;52.095766;4.27158;;;;
W299;52.095646;4.27295;;;;
W301;52.096292;4.272394;;;;
W305;52.10119;4.275102;;;;
W307;52.101573;4.275353;;;;
W310;52.074856;4.264884;;;;
W311;52.074779;4.264902;;;;
W312;52.074748;4.264904;;;;
W313;52.074783;4.264928;;;;
W314;52.074677;4.264958;;;;
W315;52.074645;4.264956;;;;
W316;52.074614;4.264954;;;;
W317;52.074582;4.264952;;;;
W318;52.074551;4.26495;;;;
W319;52.074605;4.265036;;;;
W320;52.074484;4.265068;;;;
W321;52.074452;4.265066;;;;
W322;52.074421;4.265064;;;;
W323;52.074389;4.265062;;;;
W324;52.074358;4.26506;;;;
W325;52.074432;4.265141;;;;
W326;52.074309;4.265173;;;;
W327;52.074278;4.265171;;;;
W328;52.074246;4.265169;;;;
W329;52.074215;4.265167;;;;
W330;52.074184;4.265165;;;;
W338;52.083213;4.318587;;;;
W340;52.08359;4.317386;;;;
W378;52.048535;4.283584;;;;
W380;52.045104;4.290237;;;;
W383;52.100243;4.400581;;;;
W385;52.06634;4.32938;;;;
W391;52.09098;4.36649;;;;
W392;52.070925;4.285258;;;;
W399;52.071044;4.284697;;;;
W425;52.116038;4.29021;;;;
W426;52.117049;4.290523;;;;
W427;52.117092;4.290581;;;;
W428;52.117131;4.290634;;;;
W433;52.04423;4.250036;;;;
W434;52.044279;4.24991;;;;
W435;52.044293;4.249762;;;;
W436;52.044297;4.249923;;;;
W437;52.044346;4.249798;;;;
W438;52.044361;4.24965;;;;
W439;52.044367;4.249806;;;;
W440;52.044417;4.249681;;;;
W441;52.044431;4.249532;;;;
W442;52.044497;4.249486;;;;
W446;52.044238;4.246459;;;;
W448;52.043392;4.247353;;;;
W464;52.04371;4.246868;;;;
W465;52.043632;4.246953;;;;
W466;52.043634;4.246993;;;;
W467;52.043556;4.247078;;;;
W468;52.043547;4.24714;;;;
W469;52.043469;4.247224;;;;
W470;52.04347;4.247268;;;;
W473;52.044515;4.24964;;;;
W474;52.044561;4.249517;;;;
W475;52.044574;4.249366;;;;
W476;52.044582;4.249529;;;;
W477;52.044629;4.249405;;;;
W478;52.044642;4.249253;;;;
W479;52.044693;4.249298;;;;
W480;52.06614;4.32881;;;;
W487;52.04366;4.25152;;;;
W489;52.044108;4.25015;;;;
W490;52.044303;4.249993;;;;
W491;52.044146;4.250126;;;;
W492;52.044333;4.249943;;;;
W493;52.0442;4.250166;;;;
W500;52.044277;4.247581;;;;
W507;52.042937;4.24823;;;;
W510;52.042897;4.248369;;;;
W513;52.04382;4.250041;;;;
W520;52.07247;4.29204;;;;
W521;52.073434;4.292307;;;;
W523;52.072935;4.292204;;;;
W525;52.072748;4.291477;;;;
W530;52.049168;4.237334;;;;
W532;52.048293;4.235181;;;;
W533;52.048415;4.235264;;;;
